candidate_sku,requested_parent_sku,requested_theme,color,capacity,material,pack_count,source_page,image_file,merchandising_note
TRAIL-750-BLK,TRAIL-750-PARENT,ColorName,Matte Black,750ml,304 stainless steel,1,source_pages/supplier_product_pages/TRAIL-750-BLK.html,images/trail-750-blk.jpg,Add before June promotion
TRAIL-750-BLU,TRAIL-750-PARENT,ColorName,Ocean Blue,750ml,304 stainless steel,1,source_pages/supplier_product_pages/TRAIL-750-BLU.html,images/trail-750-blu.jpg,Add before June promotion
TRAIL-750-2PK,TRAIL-750-PARENT,ColorName,Black Two Pack,750ml,304 stainless steel,2,source_pages/supplier_product_pages/TRAIL-750-2PK.html,images/trail-750-2pk.jpg,Add before June promotion
TRAIL-750-GLASS,TRAIL-750-PARENT,ColorName,Clear Glass,750ml,borosilicate glass,1,source_pages/supplier_product_pages/TRAIL-750-GLASS.html,images/trail-750-glass.jpg,Add before June promotion
TRAIL-1000-SIL,TRAIL-750-PARENT,ColorName,Silver 1000ml,1000ml,316 stainless steel,1,source_pages/supplier_product_pages/TRAIL-1000-SIL.html,images/trail-1000-sil.jpg,Add before June promotion
TRAIL-INFUSER-GRN,TRAIL-750-PARENT,ColorName,Infuser Lid Bottle,750ml,304 stainless steel with tea infuser,1,source_pages/supplier_product_pages/TRAIL-INFUSER-GRN.html,images/trail-infuser-grn.jpg,Add before June promotion
TRAIL-750-RED,TRAIL-750-PARENT,ColorName,Canyon Red,750ml,304 stainless steel,1,source_pages/supplier_product_pages/TRAIL-750-RED.html,images/trail-750-red.jpg,Add before June promotion
TRAIL-750-BAMBOO,TRAIL-750-PARENT,ColorName,Bamboo Lid Natural,750ml,304 stainless steel with bamboo lid,1,source_pages/supplier_product_pages/TRAIL-750-BAMBOO.html,images/trail-750-bamboo.jpg,Add before June promotion
TRAIL-750-KIDS,TRAIL-750-PARENT,ColorName,Kids Straw,500ml,304 stainless steel,1,source_pages/supplier_product_pages/TRAIL-750-KIDS.html,images/trail-750-kids.jpg,Add before June promotion
TRAIL-750-BLK-FBA,TRAIL-750-PARENT,ColorName,Matte Black FBA Prep,750ml,304 stainless steel,1,source_pages/supplier_product_pages/TRAIL-750-BLK-FBA.html,images/trail-750-blk-fba.jpg,Add before June promotion
