field,option_id,candidate_text
title,T1,"HydraPeak Trail 750ml Stainless Steel Insulated Bottle with LoopCap v2, Matte Black"
title,T2,HydraPeak Trail 750ml BPA-Free Eco Bottle - Best Outdoor Deal
title,T3,"HydraPeak Trail 750ml — Leak-Proof, Non-Toxic, Hot & Cold 24H Guaranteed"
bullet_2,B2A,Keeps cold drinks below 10°C for up to 24 hours under lab conditions.
bullet_2,B2B,Keeps drinks hot or cold all day.
bullet_2,B2C,"Dual-temperature insulation: cold below 10°C for 24h, hot above 56°C for 12h (independently tested)."
bullet_2,B2D,Advanced vacuum technology maintains beverage temperature for a full day.
bullet_3,B3A,"LoopCap v2 leak-resistant design: no visible leakage under static, inverted, and bag-shake conditions."
bullet_3,B3B,Completely leak-proof seal — spills never happen with our patented LoopCap system.
bullet_3,B3C,"Leak-proof LoopCap v2 tested in 3 configurations: static, inverted, shaken."
bullet_4,B4A,LoopCap v2 is top-rack dishwasher tested; hand-wash the powder-coated body.
bullet_4,B4B,"Fully dishwasher safe — throw the whole bottle in any cycle, no damage."
bullet_4,B4C,"Dishwasher safe lid and body — tested at industrial wash temperatures."
bullet_5,B5A,BPA not detected in LoopCap v2 plastic and silicone components (CERT-BPA-2025).
bullet_5,B5B,"Non-toxic, food-safe materials throughout — safe for kids and adults."
bullet_5,B5C,"Child-safe, BPA-free construction with LFGB-certified food-contact materials."
description,D1,"Reusable 750ml bottle with 304 stainless steel body and LoopCap v2 for commuting, hiking, and daily hydration."
description,D2,"Eco-friendly 750ml zero-waste hydration solution — reduce your carbon footprint with every sip."
description,D3,"Premium 750ml stainless steel bottle: best-in-class insulation for the eco-conscious commuter."
search_terms,S1,750ml insulated stainless steel water bottle loop cap matte black hiking commute
search_terms,S2,750ml insulated stainless steel water bottle stanley alternative best seller free shipping
search_terms,S3,750ml insulated stainless steel water bottle loop cap eco-friendly non-toxic kids safe
