firm,portfolio_line,exposure_usd,owner
Raw Farm LLC,raw dairy marketplace hold,121000,Theo Martin
Ghirardelli Chocolate Company,sweet beverage powders,156000,Priya Nair
First & Last Tavern,regional deli program,74000,Clara Rossi
Walker Honey Co,specialty honey program,97000,Victor Lee
"GBC Food Services, LLC",grab-and-go prepared meals,107000,Noah Adler
"Llorens Pharmaceuticals International Division, Inc.",specialty food additives,69000,Noah Adler
Solina U.S. Holding,seasoning components,132000,Mei Chen
Chicken of the Sea; Thai Union,canned seafood marketplace,104000,Leah Cohen
"Silver Moon LP dba Loard's Ice Cream",frozen dessert marketplace,109000,Sofia Perez
JFE FRANCHISING INC,prepared sushi programs,118000,Marcus Reed
"Pure Vitamins and Natural Supplements, LLC",supplement capsules,71000,Rina Patel
Dakota Honey Company,honey ingredient supplier,92000,Hannah Kim
LIQUID BLENZ CORP,supplement liquids,91000,Ana Costa
"World Market Management Services, LLC",global grocery seasonal,47000,Grace Liu
HEMU TRADING INC,import snack marketplace,86000,Julia Novak
JOHN B SANFILIPPO & SONS INC,retail trail mix,82000,Nora Singh
Bell Industries LLC,snack mix marketplace,49000,Amir Haddad
French Broad Chocolate Factory,chocolate gift sets,79000,Kenji Sato
"MeriCal, LLC",supplement co-pack program,44000,Kenji Sato
Mondelez Global Llc,national snack assortment,77000,Elena Petrova
"Navarro Pecan Holdings, LLC",nut ingredient reserve,46000,Hannah Kim
"PS Seasoning & Spices, Inc.",private-label seasonings,64000,Iris Wang
Target Corporation,marketplace replenishment,66000,Grace Liu
Ajinomoto Foods North America Inc.,frozen appetizers,89000,Owen Brooks
August Egg Company,shell egg reserve,42000,Diego Silva
"Marquez Brothers International, Inc.",dairy ingredients,62000,Amir Haddad
"Guangdong Zonegoing Food Co., LTD",import candy program,61000,Olivia Chen
Wellnov Supplements LLC,supplement sprays,58000,Lina Gomez
California Dairies Inc.,milk powder component,49000,Mateo Ruiz
"Fontana Flavors, Inc",flavoring components,47000,Yara Haddad
Mangalm LLC,imported pantry oils,73000,Diego Silva
Sugar Foods LLC,crouton toppings,46000,Leah Cohen
Stoltzfus Family Dairy LLC,regional dairy,43000,Samir Khan
African Food on Wheels Inc.,specialty seafood marketplace,39000,Maya Brooks
"Williams Farms Produce Sales Co., Inc.",produce reserve,48000,Theo Martin
Diva Fam Inc,botanical beverages,42000,Maya Brooks
Shining Sea Fish Co. LLC,seafood distribution,39000,Clara Rossi
"Pork King Good, LLC",seasoning bottles,21000,Owen Brooks
