name,category,price,featured,seasonal,description
Country Sourdough Loaf,Breads,8.50,yes,no,Classic tangy sourdough with crisp crust
Whole Wheat Batard,Breads,7.00,no,no,Nutty whole grain with open crumb
Pain de Campagne,Breads,9.00,yes,no,French country bread with rye and wheat blend
Croissant (pack of 4),Pastries,12.00,no,no,Flaky butter croissant with 72 layers
Pain au Chocolat (pack of 4),Pastries,14.00,no,no,Dark chocolate filled croissant
Cinnamon Raisin Sourdough,Breads,10.50,no,no,Swirled with Ceylon cinnamon and golden raisins
Olive Fougasse,Breads,11.00,no,yes,Mediterranean flatbread with Kalamata olives
Baguette Tradition,Breads,5.50,yes,no,Classic French baguette with poolish method
Seasonal Fruit Danish,Pastries,6.50,no,yes,Current season: fig and honey
Brioche Loaf,Breads,9.50,no,no,Rich egg bread perfect for French toast
