date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2025-10-31,越南,中国,CÔNG TY TNHH SAVISOLAR,SHENZHEN LITHTECH ENERGY CO LTD,"389/25/1G Le Van Khuong, Ward 2, Tan Thoi Hiep Ward, Ho Chi Minh City, Vietnam","14 FLOOR, D BUILDING CENTRAL AVENUE, XIXIANG BAO'AN DISTRICT, SHENZHEN, CHINA, CN",,,,China,,,,85076090,"Pin lưu trữ bằng Ion Lithium, hiệu: Lithtech, model: TR8000WX, 51.2V/280Ah, size: L750*W480*H245 dùng trong hệ thống điện năng lượng mặt trời. NXK: SHENZHEN LITHTECH ENERGY CO., LTD. Hàng mới 100%,Storage battery Ion Lithium, brand: Lithtech, model: TR8000WX, 51.2 V/280Ah, size: L750*W480*H245 used in power system, solar energy. NXK: SHENZHEN LITHTECH ENERGY CO., LTD. 100% brand new",,216.0,Pieces,0.0,180974.9995,,,
2025-10-30,越南,中国,CÔNG TY TNHH NĂNG LƯỢNG SOLARVIET,ENERGY TECHNOLOGY GUANGDONG CO LTD,"23/8 Street 27, Ward 70, Hiep Binh Ward, Ho Chi Minh City, Vietnam","ROOM 502, BUILDING 2, NO.2, HUDIE 1ST ROAD, TIANXIN, HUANGJIANG TOWN, DONGGUAN CITY, GUANGDONG PROVINCE, CN",,,,China,,,,85076039,"Bộ pin LiFePO4 (hợp chất lithium), hiệu: SVE, model: SVE16.6-LITE, 51,2V/324Ah/16.6kWh, dùng trong hệ thống điện năng lượng mặt trời. Hàng mới 100%,The battery pack LiFePO4 (compound lithium), brand: SVE, model: SVE16.6-LITE, 51,2 V/324Ah/16.6 kWh, used in power system, solar energy. 100% brand new",,196.0,Pieces,0.0,161700.0,,,
2025-10-30,越南,中国,CÔNG TY TNHH NĂNG LƯỢNG SOLARVIET,ENERGY TECHNOLOGY GUANGDONG CO LTD,"23/8 Street 27, Ward 70, Hiep Binh Ward, Ho Chi Minh City, Vietnam","ROOM 502, BUILDING 2, NO.2, HUDIE 1ST ROAD, TIANXIN, HUANGJIANG TOWN, DONGGUAN CITY, GUANGDONG PROVINCE, CN",,,,China,,,,85076039,"Bộ pin LiFePO4 (hợp chất lithium), hiệu: SVE, model: SVE16.6-LITE, 51,2V/324Ah/16.6kWh, dùng trong hệ thống điện năng lượng mặt trời. Hàng mới 100%,The battery pack LiFePO4 (compound lithium), brand: SVE, model: SVE16.6-LITE, 51,2 V/324Ah/16.6 kWh, used in power system, solar energy. 100% brand new",,196.0,Pieces,0.0,161700.0,,,
2025-10-30,越南,中国,CÔNG TY TNHH NĂNG LƯỢNG SOLARVIET,ENERGY TECHNOLOGY GUANGDONG CO LTD,"23/8 Street 27, Ward 70, Hiep Binh Ward, Ho Chi Minh City, Vietnam","ROOM 502, BUILDING 2, NO.2, HUDIE 1ST ROAD, TIANXIN, HUANGJIANG TOWN, DONGGUAN CITY, GUANGDONG PROVINCE, CN",,,,China,,,,85076039,"Bộ pin LiFePO4 (hợp chất lithium), hiệu: SVE, model: SVE16.6-LITE, 51,2V/324Ah/16.6kWh, dùng trong hệ thống điện năng lượng mặt trời. Hàng mới 100%,The battery pack LiFePO4 (compound lithium), brand: SVE, model: SVE16.6-LITE, 51,2 V/324Ah/16.6 kWh, used in power system, solar energy. 100% brand new",,196.0,Pieces,0.0,161700.0,,,
2025-10-30,越南,中国,CÔNG TY TNHH NĂNG LƯỢNG ĐIỆN TỬ SONER,HU'NAN SHENGYUAN ENERGY TECH CO LTD SHENZHEN BRANCH,"No. 44, Lane 351/81, Thuy Phuong Street, Dong Ngac Ward, Hanoi City, Vietnam","UNIT 405,BUILDING F,GUANGHONG MEIJU, NO.163 PINGXIN,NORTH ROAD, HEHUA COMMUNITY,PINGHUA STREET, LONGGANG DISTRICT, SHENZHEN",,,,China,,,,85076090,"Ắc quy (Pin lithium soner), model SNEB16S16A-LFP, 51.2V-16Ah, nhà sx: Guangdong Shengli Hi-Tech New Energy Technology Co.,Ltd,dùng cho xe máy điện, hàng mới 100%,Battery (lithium soner), model SNEB16S16A-LFP, 51.2 V-16Ah, manufacturer: Guangdong Shengli Hi-Tech New Energy Technology Co.,Ltd,for electric motorcycle, 100% brand new",,150.0,Pieces,0.0,10575.0,,,
2025-10-30,越南,中国,CÔNG TY TNHH NĂNG LƯỢNG ĐIỆN TỬ SONER,HU'NAN SHENGYUAN ENERGY TECH CO LTD SHENZHEN BRANCH,"No. 44, Lane 351/81, Thuy Phuong Street, Dong Ngac Ward, Hanoi City, Vietnam","UNIT 405,BUILDING F,GUANGHONG MEIJU, NO.163 PINGXIN,NORTH ROAD, HEHUA COMMUNITY,PINGHUA STREET, LONGGANG DISTRICT, SHENZHEN",,,,China,,,,85076090,"Ắc quy (Pin lithium soner), model SNEB16S20A-LFP, 51.2V-20Ah, nhà sx: Guangdong Shengli Hi-Tech New Energy Technology Co.,Ltd,dùng cho xe máy điện, hàng mới 100%,Battery (lithium soner), model SNEB16S20A-LFP, 51.2 V-20Ah, manufacturer: Guangdong Shengli Hi-Tech New Energy Technology Co.,Ltd,for electric motorcycle, 100% brand new",,100.0,Pieces,0.0,9350.0,,,
2025-10-29,越南,中国,CÔNG TY TNHH MÁY VÀ THIẾT BỊ CÔNG NGHIỆP FUJI VIỆT NAM,MCF NEW ENERGY TECHNOLOGY SUZHOU CO LTD,"6th Floor, Md Complex Building, No. 68 Nguyen Co Thach Street, Cau Dien Ward, Nam Tu Liem District, Hanoi City, Vietnam.","NO.39 FANGDA STREET, SUZHOU INDUSTRIAL PARK, SUZHOU, CHINA, CN",,,,China,,,,85076090,"Ắc quy xe nâng điện Lithium,model:MCF FUJI-P51.2-210Y-01.KT:940*250*450mm, 51.2V , 210 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. mới 100%.,Battery electric forklift Lithium,model:MCF FUJI-P51.2-210Y-01.KT:940*250*450mm, 51.2 V , 210 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. 100% new.",,5.0,Set,0.0,6317.95,,,
2025-10-29,越南,中国,CÔNG TY TNHH MÁY VÀ THIẾT BỊ CÔNG NGHIỆP FUJI VIỆT NAM,MCF NEW ENERGY TECHNOLOGY SUZHOU CO LTD,"6th Floor, Md Complex Building, No. 68 Nguyen Co Thach Street, Cau Dien Ward, Nam Tu Liem District, Hanoi City, Vietnam.","NO.39 FANGDA STREET, SUZHOU INDUSTRIAL PARK, SUZHOU, CHINA, CN",,,,China,,,,85076090,"Ắc quy xe nâng điện Lithium,model:MCF FUJI-P51.2-420Y-01.KT:960*415*470mm, 51.2V , 420 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. mới 100%.,Battery electric forklift Lithium,model:MCF FUJI-P51.2-420Y-01.KT:960*415*470mm, 51.2 V 420 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. 100% new.",,10.0,Set,0.0,24109.3,,,
2025-10-29,越南,中国,CÔNG TY TNHH MÁY VÀ THIẾT BỊ CÔNG NGHIỆP FUJI VIỆT NAM,MCF NEW ENERGY TECHNOLOGY SUZHOU CO LTD,"6th Floor, Md Complex Building, No. 68 Nguyen Co Thach Street, Cau Dien Ward, Nam Tu Liem District, Hanoi City, Vietnam.","NO.39 FANGDA STREET, SUZHOU INDUSTRIAL PARK, SUZHOU, CHINA, CN",,,,China,,,,85076090,"Ắc quy xe nâng điện Lithium,model:MCF FUJI-P51.2-315Y-01.KT:814*368*385mm, 51.2V , 315 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. mới 100%.,Battery electric forklift Lithium,model:MCF FUJI-P51.2-315Y-01.KT:814*368*385mm, 51.2 V , 315 AH.NSX:MCF NEW ENERGY TECHNOLOGY (SUZHOU) CO.,LTD. 100% new.",,10.0,Set,0.0,19004.4,,,
2025-10-27,越南,新加坡,CÔNG TY TNHH SOLARHIVE VIỆT NAM,SOLARHIVE PTE LTD,"House No. Jj 8, Bach Ma Street, Hoa Hung Ward, Ho Chi Minh City, Vietnam.","18 BOON LAY WAY, #06-107 TRADE HUB 21, SINGAPORE, SG",,,,China,,,,85076039,"Bộ pin Ắc quy Lithium 5KWh, sử dụng cho hệ thống điện năng lượng mặt trời, hiệu Pylontech, Model: UF5000, điện áp 51.2V, hàng mới 100%,Battery Battery Lithium 5KWh, used for power system solar brand Pylontech, Model: UF5000 voltage 51.2 V, 100% brand new",,280.0,Pieces,0.0,138600.0,,,
