date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2025-03-19,俄罗斯,中国,ACCURIDE WHEELS RUSSIA LLC,ACCURIDE WHEELS SHANDONG CO LTD,"423523, РФ, РТ, ЗАИНСК, УЛ. АВТОЗАВОДСКАЯ, 11","272000, HIGH TECHNOLOGY ZONE JINING, SHANDONG, HONGYUAN INDUSTRIAL PARK KANGTAI",,,THOMSON,China (CN),Russia,,,8482109008,"BALL BEARINGS FOR NON-MILITARY PURPOSES, SUPPLIED FOR OWN PRODUCTION NEEDS, WITHOUT THE PURPOSES OF SALE, DISTRIBUTION, TRANSFER OR ALIENATION: THOMSON PROFILE RAIL LINEAR GUIDES, INTENDED FOR LINEAR MOVEMENT",,24.0,PC,398.0,38520.5,,,ОТСУТСТВУЕТ
2025-11-01,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Plot No. TT3-09, Land Plot Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam.","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt MR9MN SU VCN, bộ phận của thanh tuyến tính dẫn hướng, bằng thép,có ổ bi,,hiệu CPC,, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,MR9MN SU VCN linear slide, part of a linear guide rail, made of steel, with ball bearings, CPC brand, metalworking machine parts. Manufacturer: CPC, 100% new.",,5000.0,Pieces,0.0,31000.0,,,
2025-08-08,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Lot No. Tt3-09, Dat Ket Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt MR7MN SU VCN (M2.5) ,bộ phận của thanh tuyến tính dẫn hướng, bằng thép,có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,Slider MR7MN SU VCN (M2.5) parts of the linear guide, steel ball bearings, machine parts metal machining. MANUFACTURER: CPC, 100% new",,4500.0,Pieces,0.0,30150.0,,,
2025-04-04,印度,中国,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE,FAIVELEY METRO TECHNOLOGY SHANGHAI CO LTD,"HARITA,  HOSUR, ",,,,,CHINA,,Shanghai,BANGALORE ACC (INBLR4),84825000,12.1800.1094 LINEAR BEARING INA F-609645.KS 12.1800.1094 LINEAR BEARING INA F-609645.KS,,391.0,NOS,0.0,25571.4883,U3LOSJQ7AW6BH,,
2025-08-08,越南,中国台湾,CÔNG TY TNHH JADE M - TECH,CHUN LOUNG CO LTD,"Lot No. Tt3-09, Dat Ket Area, Lien Mac Ward, Bac Tu Liem District, Hanoi City, Vietnam","NO.1, LANE 333,MINYI ST, FUAN VILLAGE SIOUSHUEI  TOWNSHIP, CHANGHUA COUNTY 50444, TAIWAN, TW",,,,Taiwan,,,,84821000,"Con trượt ARC15ML S V1N, bộ phận của thanh tuyến tính dẫn hướng, bằng thép,có ổ bi, phụ tùng máy gia công kim loại. NSX: CPC, mới 100%,Slider ARC15ML S V1N, parts of the linear guide, steel ball bearings, machine parts metal machining. MANUFACTURER: CPC, 100% new",,1500.0,Pieces,0.0,24150.0,,,
2025-02-11,俄罗斯,中国,GAZ AUTOMOBILE PLANT LTD,REG AUTO SHANGHAI INDUSTRY LTD,"603004, НИЖЕГОРОДСКАЯ, Г.Н.НОВГОРОД, ПР.ИЛЬИЧА, 5,",", LUJIAZUI CIRCLE, SHANGHAI, ROOM 708, UNIT 02, 7TH FLOOR, NO.333, .,..",,,C&U,China (CN),Russia,,,8482101009,"LINEAR BALL BEARING, NEW ART. NO. LBD15X21X22STTN1 - 27040 PCS., OUTER DIAMETER 21 MM., HEIGHT 22 MM. ACCURACY CLASS - 0 (NORMAL); ART. NO. LBD15X21X27STTN1 - 2730 PCS., OUTER DIAMETER 21 MM., HEIGHT 27 MM. ACCURACY CLASS -0",,29770.0,PC,479.92,22671.8,,,ОТСУТСТВУЕТ
2025-02-08,印度,中国,CTS BEARING HOUSE,QINGDAO HIKING YICAITONG MARKET PURCHASING CO LTD,"A7 , Mulund Jaimala CHS, K N Centre, N S Road, Mulund West null",,,,,CHINA,,Qingdao,NHAVA SHEVA SEA (INNSA1),84821090,LINEAR MOTION BEARING (19486 PCS) LINEAR MOTION BEARING (19486 PCS),,3608.0,KGS,3608.0,22593.3695,H5CU0V0WQ9MBC,,
2025-02-18,俄罗斯,中国,ООО НОВАЯ ДИНАМИКА,SHANDONG CHIK BEARING CO LTD,"344029, РОСТОВСКАЯ ОБЛАСТЬ, Г.О. Г.РОСТОВ-НА-ДОНУ, УЛ МЕНЖИНСКОГО, 2А","250010, SHANDONG PILOT FREE TRADE ZONE, JINAN ZONE, 806 WEST #1 BUILDING, SHUNTA",,,"SHANDONG CHIK BEARING CO.,LTD",China (CN),Russia,,,8482200009,"TAPERED ROLLER BEARINGS. ARE DESIGNED TO FIX THE SHAFT IN SPACE AND ENSURE ITS FREE ROTATION, ROLLING OR LINEAR DISPLACEMENT. CONSISTS OF A RING MADE BY MECHANICAL PROCESSING OF A BLANK FROM ROLLING METAL, A SET OF TAPERED",,3550.0,PC,6072.0,21859.79,,,ОТСУТСТВУЕТ
2025-04-04,印度,中国,FAIVELEY TRANSPORT RAIL TECHNOLOGIES INDIA PRIVATE,FAIVELEY METRO TECHNOLOGY SHANGHAI CO LTD,"HARITA,  HOSUR, ",,,,,CHINA,,Shanghai,BANGALORE ACC (INBLR4),84825000,12.1800.1094 LINEAR BEARING INA F-609645.KS 12.1800.1094 LINEAR BEARING INA F-609645.KS,,322.0,NOS,0.0,21058.8727,U3LOSJQ7AW6BH,,
2025-07-30,印度,中国,ROLLSHAFT,LISHUI CITY YONGRUN PRECISION MACHINERY CO LTD,"Ward No. - 2, 693, KHATRIWARA, OLD FARIDABAD, Faridabad, Haryana, 121002 null",,,,,CHINA,,Ningbo,ICD PATPARGANJ,84821090,KH3050 LINEAR BEARING KH3050 LINEAR BEARING,,19200.0,NOS,0.0,18894.4724,6TMUI7GJ28PP5,,
