order_no,sku_code,item_name,quantity,payment_amount,create_time,order_status,customer_id
JD-2026060101,JD-LUM-001,Hydrating Essence Milk 50ml,1,125.00,06/02/2026,COMPLETED,jd_cust_30012
JD-2026060102,JD-LUM-002,Brightening Renewal Cream 30g,2,330.00,06/02/2026,COMPLETED,jd_cust_30045
JD-2026060103,JD-LUM-003,Repair Eye Cream 15ml,1,255.00,06/03/2026,COMPLETED,jd_cust_30078
JD-2026060104,JD-LUM-004,UV Shield Lotion SPF50+ 40ml,2,170.00,06/04/2026,COMPLETED,jd_cust_30091
JD-2026060105,JD-LUM-005,Gentle Cleansing Water 200ml,3,168.00,06/05/2026,COMPLETED,jd_cust_30103
JD-2026060106,JD-LUM-001,Hydrating Essence Milk 50ml,2,250.00,06/06/2026,COMPLETED,jd_cust_30112
JD-2026060107,JD-LUM-002,Brightening Renewal Cream 30g,1,165.00,06/07/2026,CANCELLED,jd_cust_30128
JD-2026060108,JD-LUM-003,Repair Eye Cream 15ml,1,255.00,06/08/2026,COMPLETED,jd_cust_30134
JD-2026060109,JD-LUM-004,UV Shield Lotion SPF50+ 40ml,1,85.00,06/09/2026,COMPLETED,jd_cust_30147
JD-2026060110,JD-LUM-005,Gentle Cleansing Water 200ml,2,112.00,06/10/2026,COMPLETED,jd_cust_30156
JD-2026060111,JD-LUM-001,Hydrating Essence Milk 50ml,1,125.00,06/11/2026,REFUNDED,jd_cust_30162
JD-2026060112,JD-LUM-002,Brightening Renewal Cream 30g,1,165.00,06/12/2026,COMPLETED,jd_cust_30178
JD-2026060113,JD-LUM-003,Repair Eye Cream 15ml,2,510.00,06/13/2026,COMPLETED,jd_cust_30185
JD-2026060114,JD-LUM-004,UV Shield Lotion SPF50+ 40ml,3,255.00,06/14/2026,COMPLETED,jd_cust_30192
JD-2026060115,JD-LUM-005,Gentle Cleansing Water 200ml,1,56.00,06/15/2026,COMPLETED,jd_cust_30201
JD-2026060116,JD-LUM-001,Hydrating Essence Milk 50ml,1,125.00,06/16/2026,COMPLETED,jd_cust_30215
JD-2026060117,JD-LUM-002,Brightening Renewal Cream 30g,2,330.00,06/18/2026,COMPLETED,jd_cust_30223
JD-2026060118,JD-LUM-003,Repair Eye Cream 15ml,1,255.00,06/19/2026,CANCELLED,jd_cust_30234
JD-2026060119,JD-LUM-004,UV Shield Lotion SPF50+ 40ml,1,85.00,06/20/2026,COMPLETED,jd_cust_30241
JD-2026060120,JD-LUM-005,Gentle Cleansing Water 200ml,2,112.00,06/21/2026,COMPLETED,jd_cust_30256
JD-2026060121,JD-LUM-001,Hydrating Essence Milk 50ml,2,250.00,06/22/2026,COMPLETED,jd_cust_30267
JD-2026060122,JD-LUM-002,Brightening Renewal Cream 30g,1,165.00,06/23/2026,COMPLETED,jd_cust_30278
JD-2026060123,JD-LUM-003,Repair Eye Cream 15ml,1,255.00,06/25/2026,REFUNDED,jd_cust_30289
JD-2026060124,JD-LUM-004,UV Shield Lotion SPF50+ 40ml,2,170.00,06/27/2026,CANCELLED,jd_cust_30295
JD-2026060125,JD-LUM-005,Gentle Cleansing Water 200ml,1,56.00,06/28/2026,COMPLETED,jd_cust_30301
