folder_name,supplier_token,city,product_line
Shenzhen ClipStand,ShenzhenClipStand,Shenzhen,aluminium phone stands and tablet mounts
Dongguan SoftShell,DongguanSoftShell,Dongguan,silicone phone cases and earbud grips
Huizhou GlassGuard,HuizhouGlassGuard,Huizhou,tempered-glass screen protectors
Xiamen BrightFin,XiamenBrightFin,Xiamen,anodized aluminium phone stands
Ningbo DeskNest,NingboDeskNest,Ningbo,aluminium laptop risers and monitor stands
Foshan HoldFast,FoshanHoldFast,Foshan,magnetic phone car holders and dashboard cradles
Quanzhou WireWeave,QuanzhouWireWeave,Quanzhou,USB-C charging leads and desk cable tidies
Zhongshan PodCharge,ZhongshanPodCharge,Zhongshan,wireless earbud charging cases
Shantou AnoTech,ShantouAnoTech,Shantou,anodized aluminium laptop risers
Jiangmen SealRite,JiangmenSealRite,Jiangmen,silicone phone grips and earbud sleeves
Zhuhai CastWell,ZhuhaiCastWell,Zhuhai,die-cast zinc alloy phone stands
Guangzhou MouldPro,GuangzhouMouldPro,Guangzhou,injection-moulded ABS charging docks
Shaoguan LumaFix,ShaoguanLumaFix,Shaoguan,LED ring lights and clip-on phone fill lights
Zhangzhou FormAlu,ZhangzhouFormAlu,Zhangzhou,die-cast aluminium phone stands with integral hinge
Chaozhou CoolEdge,ChaozhouCoolEdge,Chaozhou,extruded aluminium laptop cooling stands with finned profiles
Heyuan StampLine,HeyuanStampLine,Heyuan,injection-moulded TPU phone bumper cases
Qingyuan HarnessCo,QingyuanHarnessCo,Qingyuan,USB-C charging cables and adapters
Yangjiang AluCast,YangjiangAluCast,Yangjiang,aluminium phone stands
Putian NorthArc,PutianNorthArc,Putian,aluminium phone stands and tablet mounts
Shenzhen TruGrip,ShenzhenTruGrip,Shenzhen,silicone phone grips and stands
Dongguan ClearWave,DongguanClearWave,Dongguan,USB-C charging cables and adapters
Ningbo EchoCell,NingboEchoCell,Ningbo,wireless earbud charging cases
Foshan PackRight,FoshanPackRight,Foshan,tempered-glass screen protectors and camera films
Ningbo PowerCell,NingboPowerCell,Ningbo,aluminium laptop risers
Quanzhou ToolWorks,QuanzhouToolWorks,Quanzhou,power banks and charging cables
Quanzhou CoreCell,QuanzhouCoreCell,Quanzhou,phone stands and grips
Zhongshan LumaWare,ZhongshanLumaWare,Zhongshan,LED ring lights
Meizhou CableTek,MeizhouCableTek,Meizhou,cable organizers and ties
Ningbo PureWave,NingboPureWave,Ningbo,wireless earbud charging cases
Dongguan PrintEdge,DongguanPrintEdge,Dongguan,moulded packaging trays and inserts
Dongguan HavenPack,DongguanHavenPack,Dongguan,cable organizers and ties
