firm,portfolio_line,exposure_usd,owner
Amerisource Health Services LLC,wholesale replenishment,181000,Theo Martin
Golden State Medical Supply Inc.,generic sourcing,148000,Hannah Kim
Wells Pharma of Houston LLC,compounded pharmacy supply,69000,Marcus Reed
Lupin Pharmaceuticals Inc.,injectable therapies,87000,Nora Singh
Sagent Pharmaceuticals,injectable backup source,99000,Leah Cohen
"Ascend Laboratories, LLC",oral solid generics,126000,Victor Lee
Wisconsin Pharmacal Company,skin protectant retail,143000,Priya Nair
B BRAUN MEDICAL INC,infusion supplies,48000,Kenji Sato
"Teva Pharmaceuticals USA, Inc",sterile therapies,49000,Grace Liu
"Oasis Medical, Inc.",ophthalmic supplies,47000,Elena Petrova
Zydus Pharmaceuticals (USA) Inc,generic tablets,130000,Mei Chen
ACME UNITED CORPORATION,first-aid kits,46000,Diego Silva
"CA BOTANA International, Inc.",topical care marketplace,45000,Rina Patel
GOLD STAR DISTRIBUTION INC,imported OTC distribution,44000,Noah Adler
UCB Biosciences Inc.,specialty injectables,115000,Ana Costa
McKesson,distribution channel audit,43000,Olivia Chen
Blossom Pharmaceuticals,rx private-label backup,42000,Mateo Ruiz
SV Labs Prescott Corporation,topical liquids,41000,Yara Haddad
The Harvard Drug Group LLC,wholesale catalog,93000,Samir Khan
"Central Admixture Pharmacy Services, Inc (CAPS)  Los Angeles",compounding network,88000,Maya Brooks
"Safecor Health, LLC",unit-dose pharmacy packs,76000,Iris Wang
"Acella Pharmaceuticals, LLC",thyroid medication backup,83000,Clara Rossi
"CareFusion 213, LLC",sterile prep accessories,64000,Lina Gomez
Owen Biosciences Inc.,cosmetic drug line,78000,Julia Novak
Haleon US Holdings LLC,antigas OTC,49000,Owen Brooks
